key,sha,message,filename
HIVE-12215,55a24f0a0da2e984cb59ab513b4d7b9cb7c3b2d8,"HIVE-12215: Exchange partition does not show outputs field for post/pre execute hooks (Aihua Xu, reviewed by Xuefu Zhang)",ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java
HIVE-12215,55a24f0a0da2e984cb59ab513b4d7b9cb7c3b2d8,"HIVE-12215: Exchange partition does not show outputs field for post/pre execute hooks (Aihua Xu, reviewed by Xuefu Zhang)",ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java
HIVE-12215,55a24f0a0da2e984cb59ab513b4d7b9cb7c3b2d8,"HIVE-12215: Exchange partition does not show outputs field for post/pre execute hooks (Aihua Xu, reviewed by Xuefu Zhang)",ql/src/test/results/clientnegative/exchange_partition.q.out
HIVE-12215,55a24f0a0da2e984cb59ab513b4d7b9cb7c3b2d8,"HIVE-12215: Exchange partition does not show outputs field for post/pre execute hooks (Aihua Xu, reviewed by Xuefu Zhang)",ql/src/test/results/clientpositive/exchange_partition.q.out
HIVE-12215,55a24f0a0da2e984cb59ab513b4d7b9cb7c3b2d8,"HIVE-12215: Exchange partition does not show outputs field for post/pre execute hooks (Aihua Xu, reviewed by Xuefu Zhang)",ql/src/test/results/clientpositive/exchange_partition2.q.out
HIVE-12215,55a24f0a0da2e984cb59ab513b4d7b9cb7c3b2d8,"HIVE-12215: Exchange partition does not show outputs field for post/pre execute hooks (Aihua Xu, reviewed by Xuefu Zhang)",ql/src/test/results/clientpositive/exchange_partition3.q.out
HIVE-12215,55a24f0a0da2e984cb59ab513b4d7b9cb7c3b2d8,"HIVE-12215: Exchange partition does not show outputs field for post/pre execute hooks (Aihua Xu, reviewed by Xuefu Zhang)",ql/src/test/results/clientpositive/exchgpartition2lel.q.out
HIVE-11497,e9e96d38a8f0a65bddcd3827c21e4b3cd8a6ff7a,HIVE-11497: Make sure --orcfiledump utility includes OrcRecordUpdate.AcidStats (Prasanth Jayachandran reviewed by Eugene Koifman),ql/src/java/org/apache/hadoop/hive/ql/io/orc/FileDump.java
HIVE-11497,e9e96d38a8f0a65bddcd3827c21e4b3cd8a6ff7a,HIVE-11497: Make sure --orcfiledump utility includes OrcRecordUpdate.AcidStats (Prasanth Jayachandran reviewed by Eugene Koifman),ql/src/java/org/apache/hadoop/hive/ql/io/orc/JsonFileDump.java
HIVE-11497,e9e96d38a8f0a65bddcd3827c21e4b3cd8a6ff7a,HIVE-11497: Make sure --orcfiledump utility includes OrcRecordUpdate.AcidStats (Prasanth Jayachandran reviewed by Eugene Koifman),ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRecordUpdater.java
HIVE-11497,e9e96d38a8f0a65bddcd3827c21e4b3cd8a6ff7a,HIVE-11497: Make sure --orcfiledump utility includes OrcRecordUpdate.AcidStats (Prasanth Jayachandran reviewed by Eugene Koifman),ql/src/test/resources/orc-file-dump.json
HIVE-12260,b7e0d92158400f840456c86ecbfcc901c8024896,HIVE-12260: Fix TestColumnStatistics and TestJsonFileDump test failures in master (Prasanth Jayachandran reviewed by Thejas Nair),ql/src/test/resources/orc-file-dump.json
HIVE-12260,b7e0d92158400f840456c86ecbfcc901c8024896,HIVE-12260: Fix TestColumnStatistics and TestJsonFileDump test failures in master (Prasanth Jayachandran reviewed by Thejas Nair),ql/src/test/resources/orc-file-has-null.out
HIVE-12246,fd1756504c64bf7ea42ffdb991d5221584b49c7b,HIVE-12246: Orc FileDump fails with Missing CLI jar (Prasanth Jayachandran reviewed by Ferdinand Xu),bin/ext/util/execHiveCmd.sh
HIVE-12261,1aef1e20a97f4c9cd25f0b9dfacdab9d6770f8b2,HIVE-12261 - adding more comments,metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreSchemaInfo.java
HIVE-12189,502eff951e59a58daf7ff2bc65f978212c161706,"HIVE-12189: The list in pushdownPreds of ppd.ExprWalkerInfo should not be allowed to grow very large (Yongzhi Chen, reviewed by Chao Sun)",ql/src/java/org/apache/hadoop/hive/ql/ppd/ExprWalkerInfo.java
HIVE-12234,887b596f0dc168483887a32c0483e960137ac126,"HIVE-12234: Beeline quit tries to connect again if no existing connections(Ferdinand Xu, reviewed by Szehon Ho)",beeline/src/java/org/apache/hive/beeline/Commands.java
HIVE-12234,887b596f0dc168483887a32c0483e960137ac126,"HIVE-12234: Beeline quit tries to connect again if no existing connections(Ferdinand Xu, reviewed by Szehon Ho)",beeline/src/java/org/apache/hive/beeline/DatabaseConnection.java
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/java/org/apache/hadoop/hive/ql/exec/OperatorUtils.java
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConvertJoinMapJoin.java
