file,lines_added,lines_deleted,num_commits,num_bug_fixes,num_all_commits,num_developers,num_all_developers,avg_time_between_changes,avg_time_all_versions,avg_expertise,min_expertise
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloRangeGenerator.java,83,38,3,1,0,2,0,11841086.5,0,403.0,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/NotEqual.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/PrimitiveComparison.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableOutputFormat.java,36,84,3,1,0,3,0,11841086.5,0,331.6666666666667,189
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LongCompare.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/StringCompare.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowSerializer.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PrimitiveComparisonFilter.java,5,6,2,1,0,2,0,23682173.0,0,403.0,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/TooManyAccumuloColumnsException.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/TooManyHiveColumnsException.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/AccumuloIndexedOutputFormat.java,326,0,4,1,0,4,0,9012886.666666666,0,213.75,5
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloPredicateHandler.java,53,36,4,2,0,3,0,22264846.666666668,0,442.3333333333333,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/package-info.java,18,0,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/package-info.java,18,0,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloHiveRow.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloConnectionParameters.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloCompositeRowId.java,1,1,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloSerDe.java,2,2,1,0,0,1,0,0,0,681.0,681
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloSerDeParameters.java,19,0,1,0,0,1,0,0,0,327.0,327
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloMap.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloRow.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnEncoding.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnMapper.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloIndexParameters.java,100,0,2,1,0,2,0,23682173.0,0,403.0,327
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnMappingFactory.java,0,0,0,0,0,0,0,0,0,0,0
