Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax
File,TestLowLevelLrfuCachePolicy.java,14.0,0.0,13.0,1.0,2.0,2.0,2.0,1.0,1.2,7.8,0.0,5.0,2.0,1.0,20.0,18.0,3.0,20.0,0.0,7.0,0.0,13.0,354.0,22.0,298.0,120.0,189.0,36.0,210.0,260.0,121.0,185.0,9.0,9.0,9.0,1.4,0.0,0.12,44.0,44.0,46.0,20.0,0.0,3.263157894736842,12.0,1.0,7.473684210526316,28.0,1.0,7.947368421052632,96.0,0.0,0.7368421052631579,3.0
File,TestMTQueries.java,13.0,1.0,12.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,55.0,6.0,28.0,11.0,17.0,21.0,15.0,22.0,11.0,15.0,3.0,3.0,3.0,3.0,0.0,0.75,5.0,5.0,6.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,4.0,4.0,4.0,1.0,1.0,1.0
File,TestMacroSemanticAnalyzer.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0,0.0,1.0,0.0,0.0,20.0,20.0,4.0,20.0,0.0,2.0,0.0,18.0,136.0,7.0,112.0,58.0,33.0,17.0,50.0,73.0,41.0,33.0,2.0,2.0,2.0,1.0,89.0,0.15,21.0,21.0,21.0,20.0,0.0,2.7,18.0,1.0,2.65,9.0,1.0,1.05,2.0,0.0,0.05,1.0
File,TestMapColumnVector.java,96.0,5.0,86.0,6.0,7.0,7.0,9.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,227.0,17.0,179.0,24.0,154.0,31.0,154.0,168.0,32.0,148.0,11.0,11.0,15.0,1.0,0.0,0.17,13.0,13.0,17.0,2.0,7.0,7.0,7.0,18.0,19.5,21.0,2.0,385.0,768.0,1.0,1.5,2.0
File,TestMapJoinEqualityTableContainer.java,13.0,0.0,13.0,0.0,2.0,2.0,2.0,1.0,1.0,14.0,0.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,65.0,5.0,43.0,22.0,23.0,17.0,32.0,37.0,20.0,22.0,2.0,2.0,2.0,1.0,0.0,0.4,3.0,3.0,3.0,2.0,2.0,4.0,6.0,5.0,9.0,13.0,1.0,1.5,2.0,0.0,0.5,1.0
File,TestMapJoinKey.java,9.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,45.0,4.0,24.0,13.0,12.0,17.0,16.0,19.0,11.0,12.0,1.0,1.0,1.0,1.0,0.0,0.71,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.5,4.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMapJoinMemoryExhaustionHandler.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,1.0,9.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,47.0,5.0,25.0,17.0,7.0,17.0,15.0,19.0,15.0,7.0,2.0,2.0,2.0,1.0,0.0,0.68,3.0,3.0,3.0,2.0,1.0,1.5,2.0,2.0,2.5,3.0,1.0,1.5,2.0,0.0,0.5,1.0
File,TestMapJoinOperator.java,18.0,3.0,14.0,1.0,2.0,2.0,2.0,1.0,1.0,10.25,0.0,4.0,0.0,1.0,21.0,21.0,4.0,21.0,1.0,6.0,0.0,14.0,549.0,100.0,409.0,236.0,199.0,40.0,247.0,299.0,214.0,113.0,14.0,11.0,14.0,3.5,35.5,0.1,47.0,44.0,48.0,28.0,0.0,4.555555555555555,21.0,1.0,3.888888888888889,18.0,1.0,2.888888888888889,22.0,0.0,0.9444444444444444,6.0
File,TestMapJoinRowContainer.java,12.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,43.0,6.0,20.0,11.0,9.0,17.0,15.0,17.0,10.0,9.0,1.0,1.0,1.0,1.0,0.0,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMapJoinTableContainer.java,14.0,0.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0,0.0,1.0,0.0,2.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,3.0,88.0,7.0,64.0,33.0,33.0,17.0,51.0,55.0,30.0,29.0,1.0,1.0,1.0,1.0,14.0,0.27,3.0,3.0,3.0,3.0,3.0,5.0,7.0,2.0,7.8,15.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMapRedTask.java,12.0,3.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,47.0,9.0,21.0,15.0,6.0,17.0,16.0,18.0,14.0,6.0,1.0,1.0,1.0,1.0,0.0,0.81,1.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMapStructures.java,58.0,7.0,51.0,1.0,1.0,1.0,1.0,1.0,1.875,3.875,0.0,8.0,0.0,0.0,14.0,14.0,0.0,14.0,0.0,0.0,0.0,14.0,562.0,68.0,471.0,65.0,426.0,23.0,298.0,313.0,51.0,283.0,1.0,1.0,1.0,1.125,0.0,0.05,14.0,14.0,14.0,14.0,1.0,2.4285714285714284,5.0,8.0,12.928571428571429,19.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMapWork.java,9.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,51.0,10.0,24.0,17.0,9.0,19.0,16.0,19.0,15.0,9.0,1.0,1.0,1.0,1.0,0.0,0.79,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.5,6.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMapredLocalTask.java,12.0,3.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0,9.0,20.0,14.0,6.0,17.0,15.0,17.0,13.0,6.0,1.0,1.0,1.0,1.0,0.0,0.85,1.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0
