Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,3.0,3.0,2.0,1.0,7.5,0.0,1.0,0.0,3.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,11.0,13.0,1.0,22.5,0.16,29.0,29.0,32.0,22.0,1.0,3.9,13.0,1.0,4.4,12.0,1.0,5.8,40.0,0.0,0.9,3.0
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,1.1111111111111112,12.555555555555555,0.0,9.0,0.0,1.0,35.0,35.0,31.0,35.0,10.0,1.0,3.0,21.0,563.0,70.0,439.0,161.0,227.0,54.0,208.0,288.0,143.0,170.0,7.0,7.0,9.0,1.8888888888888888,17.22222222222222,0.12,68.0,68.0,71.0,37.0,0.0,4.419354838709677,16.0,0.0,4.451612903225806,20.0,1.0,2.2903225806451615,12.0,0.0,0.6774193548387096,4.0
File,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,2.0,5.0,1.0,1.0,23.0,0.0,1.0,14.0,0.0,18.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,351.0,32.0,292.0,64.0,214.0,27.0,133.0,165.0,60.0,120.0,64.0,9.0,64.0,1.0,72.0,0.09,90.0,32.0,90.0,22.0,2.0,10.666666666666666,45.0,1.0,5.0,18.0,1.0,4.777777777777778,56.0,0.0,0.3333333333333333,2.0
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,4.0,4.0,1.0,1.0,16.0,0.0,7.0,2.0,2.0,38.0,36.0,24.0,38.0,11.0,9.0,2.0,16.0,870.0,99.0,673.0,242.0,412.0,98.0,354.0,524.0,249.0,345.0,21.0,21.0,23.0,1.4285714285714286,26.428571428571427,0.15,144.0,144.0,157.0,44.0,2.0,6.7727272727272725,28.0,2.0,9.090909090909092,53.0,1.0,362.77272727272725,7720.0,0.0,1.5454545454545454,5.0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,1.0,1.0,3.0,0.0,0.95,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,2.0,7.0,0.5,1.0,0.0,1.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,349.0,52.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,11.0,15.0,1.5,77.5,0.24,58.0,58.0,71.0,32.0,0.0,7.818181818181818,63.0,1.0,4.242424242424242,21.0,1.0,4.151515151515151,37.0,0.0,0.8181818181818182,5.0
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,95.0,9.0,31.0,14.0,10.0,55.0,16.0,23.0,13.0,10.0,1.0,1.0,1.0,1.0,67.0,1.77,6.0,6.0,6.0,6.0,2.0,2.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
File,ATSHook.java,19.0,1.0,16.0,2.0,2.0,2.0,2.0,1.0,1.2,16.2,0.0,10.0,1.0,11.0,15.0,24.0,29.0,25.0,3.0,4.0,2.0,16.0,478.0,47.0,386.0,146.0,255.0,54.0,228.0,290.0,138.0,204.0,10.0,8.0,10.0,1.8,16.4,0.14,56.0,54.0,57.0,26.0,2.0,8.785714285714286,45.0,1.0,10.857142857142858,38.0,1.0,13.285714285714286,128.0,0.0,1.5,4.0
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,1.0,10.0,5.0,3.0,18.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,1.8,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,2.2,9.4,0.0,6.0,3.0,6.0,36.0,35.0,5.0,38.0,1.0,2.0,0.0,35.0,387.0,64.0,297.0,104.0,144.0,29.0,139.0,207.0,91.0,124.0,5.0,5.0,7.0,1.4,14.2,0.1,61.0,61.0,63.0,48.0,0.0,2.5625,8.0,1.0,2.40625,9.0,1.0,1.875,7.0,0.0,0.5625,3.0
File,AbortTxnsDesc.java,5.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,36.0,0.0,13.0,8.0,3.0,23.0,7.0,10.0,8.0,2.0,1.0,1.0,1.0,2.0,0.0,1.77,2.0,2.0,2.0,2.0,1.0,2.3333333333333335,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
File,AbortTxnsRequest.java,8.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,2.2,10.8,0.0,6.0,3.0,5.0,39.0,38.0,4.0,41.0,1.0,2.0,0.0,38.0,438.0,67.0,346.0,110.0,164.0,28.0,154.0,236.0,101.0,149.0,6.0,6.0,9.0,1.4,8.8,0.08,75.0,75.0,80.0,51.0,0.0,2.4285714285714284,7.0,1.0,2.5714285714285716,12.0,1.0,2.057142857142857,9.0,0.0,0.7428571428571429,4.0
File,AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,7.0,7.0,3.0,2.0,40.0,2.0,1.0,2.0,0.0,12.0,10.0,1.0,12.0,0.0,4.0,3.0,5.0,515.0,52.0,395.0,155.0,236.0,69.0,193.0,282.0,137.0,205.0,26.0,26.0,29.0,1.0,73.0,0.17,75.0,75.0,82.0,38.0,0.0,4.4,10.0,1.0,11.8,43.0,0.0,106.5,834.0,0.0,3.1,6.0
File,AbstractCliConfig.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,1.4,8.6,5.0,6.0,1.0,2.0,40.0,41.0,20.0,42.0,0.0,4.0,13.0,25.0,438.0,63.0,347.0,118.0,172.0,28.0,154.0,246.0,116.0,153.0,8.0,8.0,11.0,1.4,18.6,0.08,82.0,82.0,92.0,45.0,1.0,9.485714285714286,26.0,1.0,3.1714285714285713,12.0,1.0,2.7714285714285714,14.0,0.0,0.8,4.0
File,AbstractCommandHandler.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,1.0,0.0,0.0,8.0,8.0,6.0,8.0,0.0,0.0,0.0,8.0,110.0,18.0,67.0,30.0,26.0,25.0,31.0,46.0,24.0,24.0,5.0,5.0,7.0,1.0,73.0,0.37,13.0,13.0,16.0,12.0,1.0,1.5714285714285714,4.0,1.0,1.4285714285714286,4.0,1.0,1.5714285714285714,5.0,0.0,0.2857142857142857,2.0
File,AbstractCoreBlobstoreCliDriver.java,16.0,1.0,14.0,1.0,2.0,2.0,2.0,1.0,1.5,10.0,1.0,2.0,0.0,5.0,8.0,8.0,0.0,8.0,0.0,1.0,1.0,6.0,180.0,20.0,134.0,53.0,79.0,27.0,77.0,96.0,43.0,65.0,5.0,5.0,5.0,1.5,28.5,0.2,18.0,18.0,18.0,10.0,0.0,5.428571428571429,12.0,1.0,10.142857142857142,22.0,1.0,2.5714285714285716,6.0,0.0,1.1428571428571428,2.0
File,AbstractCorrelationProcCtx.java,5.0,0.0,5.0,0.0,2.0,2.0,2.0,1.0,2.0,11.0,2.0,1.0,0.0,1.0,8.0,8.0,5.0,8.0,0.0,0.0,0.0,8.0,99.0,14.0,63.0,28.0,23.0,23.0,35.0,49.0,29.0,22.0,5.0,5.0,5.0,1.0,70.0,0.37,12.0,12.0,12.0,8.0,1.0,4.857142857142857,8.0,1.0,1.2857142857142858,2.0,1.0,1.0,1.0,0.0,0.0,0.0
File,AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,8.5,2.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,68.0,8.0,11.0,10.0,0.0,49.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,50.0,4.45,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.5,1.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.0
